accession	tax_id	scientific_name	base_count	description
M57300	7228	Drosophila mettleri	4616	Drosophila mettleri alcohol dehydrogenase gene, complete cds, and alcohol dehydrogenase pseudogene, complete.
AF006566	7234	Drosophila persimilis	3486	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.
AY279328	30038	Drosophila mimetica	2698	Drosophila mimetica alcohol dehydrogenase (Adh) and alcohol dehydrogenase related (Adhr) genes, complete cds.
X04672	7238	Drosophila sechellia	4582	Drosophila sechellia gene for alcohol dehydrogenase
M60793	7272	Drosophila nigra	894	Drosophila nigra alcohol dehydrogenase gene, complete cds.
M63287	32382	Drosophila heteroneura	1634	Drosophila heteroneura alcohol dehydrogenase gene, complete cds.
M63390	7236	Drosophila planitibia	1616	Drosophila planitibia alcohol dehydrogenase gene, complete cds.
U68472	30013	Drosophila madeirensis	1403	Drosophila madeirensis alcohol dehydrogenase (Adh) processed pseudogene.
X62222	7237	Drosophila pseudoobscura	3479	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62236	7237	Drosophila pseudoobscura	3479	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64471	7237	Drosophila pseudoobscura	3493	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64478	7237	Drosophila pseudoobscura	3506	D.pseudoobscura Adh gene for alcohol dehydrogenase
JF735885	614641	Drosophila tenebrosa	531	Drosophila tenebrosa alcohol dehydrogenase gene, partial cds.
M63303	7219	Drosophila differens	1630	Drosophila differens alcohol dehydrogenase gene, complete cds.
U68470	7266	Drosophila guanche	1323	Drosophila guanche alcohol dehydrogenase (Adh) processed pseudogene.
X62184	7237	Drosophila pseudoobscura	3481	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62186	7237	Drosophila pseudoobscura	3501	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62192	7237	Drosophila pseudoobscura	3481	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62233	7237	Drosophila pseudoobscura	3499	D.pseudoobscura Adh gene for alcohol dehydrogenase
M19263	7240	Drosophila simulans	4607	D.simulans alcohol dehydrogenase gene, complete cds.
X62209	7237	Drosophila pseudoobscura	3457	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62189	7237	Drosophila pseudoobscura	3457	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62198	7237	Drosophila pseudoobscura	3485	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62200	7237	Drosophila pseudoobscura	3480	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62225	7237	Drosophila pseudoobscura	3478	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62182	7237	Drosophila pseudoobscura	3502	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62194	7237	Drosophila pseudoobscura	3465	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62203	7237	Drosophila pseudoobscura	3499	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62215	7237	Drosophila pseudoobscura	3499	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62191	7237	Drosophila pseudoobscura	3472	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64469	7237	Drosophila pseudoobscura	3471	D.pseudoobscura Adh gene for alcohol dehydrogenase
U07641	7227	Drosophila melanogaster	1140	Drosophila melanogaster alcohol dehydrogenase mRNA, complete cds.
AY238779	7229	Drosophila miranda	2042	Drosophila miranda strain SP295 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
AY238775	7229	Drosophila miranda	2042	Drosophila miranda strain MA32 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
AF264078	46793	Drosophila paulistorum	405	Drosophila paulistorum alcohol dehydrogenase (Adh) gene, partial cds.
AF264079	46795	Drosophila pavlovskiana	405	Drosophila pavlovskiana alcohol dehydrogenase (Adh) gene, partial cds.
DQ471662	47316	Drosophila littoralis	711	Drosophila littoralis alcohol dehydrogenase (Adh) gene, partial cds.
MG684381	88882	Drosophila kepulauana	730	Drosophila kepulauana alcohol dehydrogenase (Adh) gene, partial cds.
