version	tax_id	scientific_name	last_updated	base_count	accession
2	7244	Drosophila virilis	2023-01-18	169771745	GCA_007989325
1	7244	Drosophila virilis	2019-08-12	169773245	GCA_007989325
1	137072	Drosophila kanapiae	2021-10-03	152203088	GCA_008042475
1	137074	Drosophila mayri	2021-10-03	167807061	GCA_008042485
1	137078	Drosophila truncata	2021-10-03	167897087	GCA_008042515
1	137070	Drosophila tani	2021-10-03	180972673	GCA_008042535
1	132243	Drosophila vulcana	2021-10-03	187578810	GCA_008042555
1	94109	Drosophila watanabei	2021-10-03	196825890	GCA_008042575
1	60717	Drosophila punjabiensis	2021-10-03	192339030	GCA_008042585
1	47315	Drosophila auraria	2021-10-03	197420731	GCA_008042615
1	73157	Drosophila nikananu	2021-10-03	190505469	GCA_008042635
1	137355	Drosophila burlai	2021-10-03	175666184	GCA_008042655
1	73917	Drosophila seguyi	2021-10-03	178856532	GCA_008042675
1	111875	Drosophila jambulina	2021-10-03	163991206	GCA_008042695
1	103765	Drosophila bocki	2021-10-03	151202254	GCA_008042715
1	109356	Drosophila leontia	2021-10-03	164601511	GCA_008042735
1	46829	Drosophila birchii	2021-10-03	156593892	GCA_008042755
1	359927	Drosophila pectinifera	2021-10-03	149209000	GCA_008042775
1	154832	Drosophila asahinai	2021-10-03	189050820	GCA_008042795
1	244254	Drosophila bunnanda	2021-10-03	151823105	GCA_008042815
1	7274	Drosophila serrata	2021-10-03	159679625	GCA_008042835
1	30018	Drosophila bakoue	2021-10-03	187248584	GCA_008044335
1	67531	Drosophila lacteicornis	2021-10-03	182681050	GCA_008044355
1	67534	Drosophila triauraria	2021-10-03	197369186	GCA_008044375
1	67533	Drosophila rufa	2021-10-03	186167886	GCA_008044435
1	7248	Drosophila athabasca	2020-05-31	192660667	GCA_008121215
1	7248	Drosophila athabasca	2020-05-31	193536318	GCA_008121225
1	7241	Drosophila subobscura	2019-08-27	126232139	GCA_008121235
1	7251	Drosophila lowei	2020-05-31	184313494	GCA_008121275
2	7291	Drosophila albomicans	2022-11-09	167541436	GCA_009650485
1	7291	Drosophila albomicans	2019-11-14	165846051	GCA_009650485
1	7218	Drosophila bifasciata	2019-11-15	192749618	GCA_009664405
1	7227	Drosophila melanogaster	2020-01-14	118119443	GCA_009869825
2	7237	Drosophila pseudoobscura	2025-01-29	163282969	GCA_009870125
1	7237	Drosophila pseudoobscura	2025-01-29	163282963	GCA_009870125
1	103775	Drosophila gunungcola	2023-02-12	168095110	GCA_011057485
1	30023	Drosophila elegans	2023-01-19	294667071	GCA_011057505
1	30019	Drosophila busckii	2026-02-16	118492362	GCA_011750605
1	7227	Drosophila melanogaster	2020-04-12	110961886	GCA_012273825
1	28584	Drosophila suzukii	2020-06-14	268012156	GCA_013340165
